date,client,platform,campaign,impressions,clicks,cost,conversions,ctr,cpc,cpa,month,extracted_client,campaign_category,date_clean
2025-08-25,ClientG,Facebook Ads,ClientG-FB-Remarketing,19009.0,358,1037.46,12,1.88,2.9,86.46,8,ClientG,Other,2025-08-25
2025-06-05,ClientJ,Google Ads,ClientJ-Search-Brand,44167.0,2944,2269.97,31,6.67,0.77,73.22,6,ClientJ,Search,2025-06-05
2025-05-21,ClientH,Facebook Ads,ClientH-FB-Prospecting,15261.0,800,3262.72,17,5.24,4.08,191.92,5,ClientH,Other,2025-05-21
2025-01-17,ClientK,Google Ads,ClientK-Display-Prospecting,34729.0,1205,5186.43,10,3.47,4.3,518.64,1,ClientK,Display,2025-01-17
2025-11-26,ClientE,Google Ads,ClientE-Search-Nonbrand,55576.0,1633,12356.66,17,4.7,4.73,454.29,11,ClientE,Search,2025-11-26
2025-01-21,ClientH,Facebook Ads,ClientH-Messenger,42128.0,518,1556.06,24,1.23,3.0,64.84,1,ClientH,Other,2025-01-21
2025-07-29,ClientK,Google Ads,ClientK-YouTube-Awareness,46414.0,3643,3572.12,35,7.85,0.98,102.06,7,ClientK,Other,2025-07-29
2025-10-13,ClientD,Facebook Ads,ClientD-FB-Prospecting,4762.0,95,198.05,4,1.99,2.08,49.51,10,ClientD,Other,2025-10-13
2025-04-07,ClientG,Google Ads,ClientG-Search-Nonbrand,28275.0,610,533.51,19,2.16,0.87,28.08,4,ClientG,Search,2025-04-07
2025-09-30,ClientK,Facebook Ads,ClientK-Messenger,14807.0,1161,1819.5,34,7.84,1.57,53.51,9,ClientK,Other,2025-09-30
2025-04-11,ClientE,Google Ads,ClientE-YouTube-Awareness,7379.0,430,1536.97,15,5.83,3.57,102.46,4,ClientE,Other,2025-04-11
2024-12-18,ClientE,Facebook Ads,ClientE-IG-Stories,59864.0,464,931.36,20,1.24,1.25,29.1,12,ClientE,Other,2024-12-18
2025-10-22,ClientD,Google Ads,ClientD-Search-Brand,23515.0,1611,1626.39,59,6.85,1.01,27.57,10,ClientD,Search,2025-10-22
2025-05-13,ClientL,Google Ads,ClientL-YouTube-Awareness,18245.0,1243,2323.77,41,6.81,1.87,56.68,5,ClientL,Other,2025-05-13
2025-08-28,ClientE,Facebook Ads,ClientE-FB-Remarketing,16472.0,782,2516.47,23,4.75,3.22,109.41,8,ClientE,Other,2025-08-28
2025-02-24,ClientD,Facebook Ads,ClientD-FB-Prospecting,29050.0,1169,2633.0,42,4.02,2.25,62.69,2,ClientD,Other,2025-02-24
2025-10-09,ClientG,Google Ads,ClientG-Display-Prospecting,45512.0,1381,1293.29,67,3.03,0.94,19.3,10,ClientG,Display,2025-10-09
2024-12-11,ClientB,Facebook Ads,ClientB-FB-Prospecting,24822.0,825,4132.22,33,5.32,3.13,78.26,12,ClientB,Other,2024-12-11
2025-07-27,ClientB,Facebook Ads,ClientB-FB-Remarketing,44813.0,2740,8419.58,39,6.11,3.07,215.89,7,ClientB,Other,2025-07-27
2025-08-19,ClientL,Google Ads,ClientL-Search-Nonbrand,7857.0,259,1262.15,3,3.3,4.87,420.72,8,ClientL,Search,2025-08-19
2025-11-08,ClientK,Facebook Ads,ClientK-FB-Remarketing,68446.0,1101,5900.58,11,2.57,3.35,335.26,11,ClientK,Other,2025-11-08
2025-01-19,ClientK,Facebook Ads,ClientK-FB-Prospecting,2129.0,98,244.83,4,4.6,2.5,61.21,1,ClientK,Other,2025-01-19
2025-11-02,ClientH,Google Ads,ClientH-Shopping-Products,77379.0,2352,8323.25,48,4.86,2.21,108.38,11,ClientH,Other,2025-11-02
2025-02-27,ClientH,Google Ads,ClientH-Display-Prospecting,36871.0,1534,2003.55,56,4.16,1.31,35.78,2,ClientH,Display,2025-02-27
2025-08-18,ClientE,Google Ads,ClientE-Shopping-Products,47818.0,1710,3075.75,36,3.58,1.8,85.44,8,ClientE,Other,2025-08-18
2025-01-01,ClientF,Facebook Ads,ClientF-IG-Stories,28107.0,1015,1604.19,14,3.61,1.58,114.58,1,ClientF,Other,2025-01-01
2025-06-21,ClientC,Facebook Ads,ClientC-FB-Video,10118.0,655,939.55,6,6.47,1.43,156.59,6,ClientC,Other,2025-06-21
2025-02-16,ClientG,Google Ads,ClientG-Search-Nonbrand,39700.0,2092,4082.67,14,5.27,1.95,291.62,2,ClientG,Search,2025-02-16
2025-01-16,ClientJ,Facebook Ads,ClientJ-FB-Remarketing,45837.0,3378,5389.92,137,7.37,1.6,39.34,1,ClientJ,Other,2025-01-16
2025-11-22,ClientK,Google Ads,ClientK-Search-Brand,22811.0,642,1712.82,23,4.5,1.67,46.54,11,ClientK,Search,2025-11-22
2024-11-29,ClientG,Google Ads,ClientG-Search-Nonbrand,47115.0,1280,7604.66,27,4.35,3.71,176.03,11,ClientG,Search,2024-11-29
2025-01-20,ClientI,Google Ads,ClientI-Display-Prospecting,24787.0,391,1224.67,10,1.58,3.13,122.47,1,ClientI,Display,2025-01-20
2025-03-13,ClientE,Facebook Ads,ClientE-FB-Prospecting,25978.0,1723,7362.52,3,6.63,4.27,2454.17,3,ClientE,Other,2025-03-13
2025-08-14,ClientF,Facebook Ads,ClientF-IG-Stories,10551.0,348,1096.52,1,3.3,3.15,1096.52,8,ClientF,Other,2025-08-14
2025-10-03,ClientI,Google Ads,ClientI-Shopping-Products,49618.0,1143,5527.82,47,2.3,4.84,117.61,10,ClientI,Other,2025-10-03
2025-06-06,ClientF,Facebook Ads,ClientF-IG-Stories,37446.0,683,1677.27,10,1.82,2.46,167.73,6,ClientF,Other,2025-06-06
2025-07-03,ClientG,Google Ads,ClientG-Search-Nonbrand,19078.0,1247,5108.22,39,6.54,4.1,130.98,7,ClientG,Search,2025-07-03
2025-01-10,ClientD,Google Ads,ClientD-YouTube-Awareness,38003.0,840,1233.68,15,2.21,1.47,82.25,1,ClientD,Other,2025-01-10
2025-05-08,ClientI,Facebook Ads,ClientI-FB-Prospecting,25739.0,754,3499.68,9,2.93,4.64,388.85,5,ClientI,Other,2025-05-08
2025-06-17,ClientE,Facebook Ads,ClientE-FB-Video,18647.0,618,1330.03,4,3.31,2.15,332.51,6,ClientE,Other,2025-06-17
2025-08-24,ClientB,Google Ads,ClientB-YouTube-Awareness,23639.0,1174,3851.0,1,4.97,3.28,3851.0,8,ClientB,Other,2025-08-24
2025-11-13,ClientC,Facebook Ads,ClientC-FB-Remarketing,13541.0,549,2102.91,23,6.49,2.39,57.14,11,ClientC,Other,2025-11-13
2025-09-27,ClientB,Google Ads,ClientB-Shopping-Products,10151.0,651,363.29,10,6.41,0.56,36.33,9,ClientB,Other,2025-09-27
2025-08-25,ClientI,Facebook Ads,ClientI-FB-Video,44877.0,2465,7875.14,87,5.49,3.19,90.52,8,ClientI,Other,2025-08-25
2025-06-30,ClientI,Google Ads,ClientI-Shopping-Products,49103.0,684,3310.85,24,1.39,4.84,137.95,6,ClientI,Other,2025-06-30
2025-08-06,ClientD,Facebook Ads,ClientD-IG-Stories,21720.0,270,319.61,6,1.24,1.18,53.27,8,ClientD,Other,2025-08-06
2025-06-05,ClientH,Google Ads,ClientH-Shopping-Products,18801.0,1143,3274.38,21,6.08,2.86,155.92,6,ClientH,Other,2025-06-05
2025-09-19,ClientL,Google Ads,ClientL-Search-Nonbrand,30605.0,1432,5091.17,7,4.68,3.56,727.31,9,ClientL,Search,2025-09-19
2025-06-28,ClientA,Google Ads,ClientA-Search-Brand,14508.0,465,427.58,11,3.21,0.92,38.87,6,ClientA,Search,2025-06-28
2025-06-23,ClientH,Facebook Ads,ClientH-IG-Stories,18079.0,411,1891.18,18,2.27,4.6,105.07,6,ClientH,Other,2025-06-23
2025-07-22,ClientI,Facebook Ads,ClientI-FB-Prospecting,36142.0,2286,2133.04,90,6.33,0.93,23.7,7,ClientI,Other,2025-07-22
2025-10-31,ClientC,Google Ads,ClientC-Search-Brand,15885.0,547,585.87,16,3.44,1.07,36.62,10,ClientC,Search,2025-10-31
2025-01-19,ClientF,Facebook Ads,ClientF-FB-Remarketing,20129.0,977,3503.39,38,4.85,3.59,92.19,1,ClientF,Other,2025-01-19
2025-09-03,ClientK,Google Ads,ClientK-YouTube-Awareness,36214.0,1612,2418.51,72,4.45,1.5,33.59,9,ClientK,Other,2025-09-03
2025-07-02,ClientI,Facebook Ads,ClientI-Messenger,1174.0,60,59.87,3,5.11,1.0,19.96,7,ClientI,Other,2025-07-02
2025-08-06,ClientG,Google Ads,ClientG-YouTube-Awareness,43755.0,2250,3870.61,87,5.14,1.72,44.49,8,ClientG,Other,2025-08-06
2025-06-03,ClientD,Google Ads,ClientD-Display-Prospecting,39343.0,1963,3728.89,6,4.99,1.9,621.48,6,ClientD,Display,2025-06-03
2025-01-07,ClientL,Facebook Ads,ClientL-FB-Remarketing,22354.0,1441,5125.53,66,6.45,3.56,77.66,1,ClientL,Other,2025-01-07
2025-05-03,ClientG,Facebook Ads,ClientG-FB-Remarketing,2998.0,91,64.23,2,3.04,0.71,32.12,5,ClientG,Other,2025-05-03
2024-12-12,ClientH,Facebook Ads,ClientH-FB-Prospecting,24098.0,332,2156.37,0,2.2,4.06,0.0,12,ClientH,Other,2024-12-12
2025-09-24,ClientE,Facebook Ads,ClientE-FB-Video,19587.0,299,1358.84,10,1.53,4.54,135.88,9,ClientE,Other,2025-09-24
2025-01-31,ClientA,Google Ads,ClientA-Shopping-Products,7103.0,513,2170.84,7,7.22,4.23,310.12,1,ClientA,Other,2025-01-31
2025-11-07,ClientH,Facebook Ads,ClientH-FB-Remarketing,79702.0,1914,13557.12,87,3.84,4.43,97.39,11,ClientH,Other,2025-11-07
2025-10-20,ClientG,Google Ads,ClientG-Search-Brand,29181.0,1098,5328.73,51,3.76,4.85,104.48,10,ClientG,Search,2025-10-20
2024-12-06,ClientL,Facebook Ads,ClientL-FB-Remarketing,35482.0,1364,6115.44,47,6.15,2.8,81.32,12,ClientL,Other,2024-12-06
2025-11-06,ClientG,Facebook Ads,ClientG-Messenger,69147.0,1425,5957.79,15,3.3,2.61,248.24,11,ClientG,Other,2025-11-06
2025-04-05,ClientI,Facebook Ads,ClientI-FB-Prospecting,16953.0,278,322.59,1,1.64,1.16,322.59,4,ClientI,Other,2025-04-05
2025-04-12,ClientD,Facebook Ads,ClientD-FB-Remarketing,40119.0,1038,1029.51,47,2.59,0.99,21.9,4,ClientD,Other,2025-04-12
2025-01-29,ClientF,Facebook Ads,ClientF-FB-Remarketing,21319.0,1459,5712.44,26,6.84,3.92,219.71,1,ClientF,Other,2025-01-29
2025-04-15,ClientI,Google Ads,ClientI-Search-Brand,9545.0,236,343.87,0,2.47,1.46,0.0,4,ClientI,Search,2025-04-15
2025-02-16,ClientI,Facebook Ads,ClientI-FB-Prospecting,25879.0,2063,10075.02,71,7.97,4.88,141.9,2,ClientI,Other,2025-02-16
2025-05-09,ClientE,Google Ads,ClientE-YouTube-Awareness,1711.0,87,262.54,0,5.08,3.02,0.0,5,ClientE,Other,2025-05-09
2025-09-12,ClientD,Google Ads,ClientD-Search-Nonbrand,18665.0,519,1299.75,0,2.78,2.5,0.0,9,ClientD,Search,2025-09-12
2025-08-15,ClientE,Facebook Ads,ClientE-IG-Stories,12338.0,581,2769.42,16,4.71,4.77,173.09,8,ClientE,Other,2025-08-15
2025-07-16,ClientH,Google Ads,ClientH-Search-Nonbrand,20895.0,1501,6843.54,20,7.18,4.56,342.18,7,ClientH,Search,2025-07-16
2025-01-07,ClientH,Google Ads,ClientH-YouTube-Awareness,40347.0,1981,4960.53,71,4.91,2.5,69.87,1,ClientH,Other,2025-01-07
2024-12-25,ClientD,Facebook Ads,ClientD-FB-Remarketing,22339.0,158,1234.7,1,1.13,4.88,771.69,12,ClientD,Other,2024-12-25
2025-04-11,ClientC,Facebook Ads,ClientC-Messenger,44342.0,2004,7256.68,32,4.52,3.62,226.77,4,ClientC,Other,2025-04-11
2025-06-16,ClientE,Facebook Ads,ClientE-FB-Prospecting,31286.0,458,1442.64,18,1.46,3.15,80.15,6,ClientE,Other,2025-06-16
2025-10-21,ClientC,Facebook Ads,ClientC-Messenger,22237.0,1680,1890.69,78,7.55,1.13,24.24,10,ClientC,Other,2025-10-21
2025-08-22,ClientI,Facebook Ads,ClientI-FB-Video,15949.0,346,1310.16,17,2.17,3.79,77.07,8,ClientI,Other,2025-08-22
2024-12-30,ClientL,Facebook Ads,ClientL-FB-Remarketing,62560.0,2041,12028.61,76,5.22,3.68,98.92,12,ClientL,Other,2024-12-30
2025-01-14,ClientG,Google Ads,ClientG-Shopping-Products,38726.0,848,1593.69,6,2.19,1.88,265.62,1,ClientG,Other,2025-01-14
2025-01-28,ClientK,Google Ads,ClientK-YouTube-Awareness,28004.0,1570,6697.39,43,5.61,4.27,155.75,1,ClientK,Other,2025-01-28
2025-07-01,ClientK,Google Ads,ClientK-Search-Brand,26417.0,1146,2291.45,0,4.34,2.0,0.0,7,ClientK,Search,2025-07-01
2025-09-16,ClientA,Facebook Ads,ClientA-FB-Video,3453.0,222,116.32,3,6.43,0.52,38.77,9,ClientA,Other,2025-09-16
2025-03-06,ClientE,Facebook Ads,ClientE-FB-Remarketing,12574.0,949,3478.97,4,7.55,3.67,869.74,3,ClientE,Other,2025-03-06
2025-05-18,ClientG,Google Ads,ClientG-Search-Brand,29464.0,2025,8289.25,18,6.87,4.09,460.51,5,ClientG,Search,2025-05-18
2025-11-22,ClientF,Facebook Ads,ClientF-FB-Prospecting,77957.0,3787,27430.26,172,7.77,4.53,99.67,11,ClientF,Other,2025-11-22
2025-06-29,ClientD,Google Ads,ClientD-Shopping-Products,21578.0,404,1777.79,3,1.87,4.4,592.6,6,ClientD,Other,2025-06-29
2025-01-01,ClientL,Facebook Ads,ClientL-IG-Stories,13989.0,569,2016.45,24,4.07,3.54,84.02,1,ClientL,Other,2025-01-01
2025-07-12,ClientB,Google Ads,ClientB-Shopping-Products,16739.0,715,2240.11,15,4.27,3.13,149.34,7,ClientB,Other,2025-07-12
2025-03-08,ClientG,Facebook Ads,ClientG-FB-Remarketing,41570.0,1747,3614.1,14,4.2,2.07,258.15,3,ClientG,Other,2025-03-08
2025-04-07,ClientD,Facebook Ads,ClientD-Messenger,13962.0,810,3292.38,12,5.8,4.06,274.36,4,ClientD,Other,2025-04-07
2025-08-11,ClientE,Google Ads,ClientE-YouTube-Awareness,44533.0,2927,5577.61,112,6.57,1.91,49.8,8,ClientE,Other,2025-08-11
2024-12-02,ClientA,Facebook Ads,ClientA-Messenger,8955.0,218,1324.37,9,3.89,3.8,91.97,12,ClientA,Other,2024-12-02
2025-07-03,ClientD,Google Ads,ClientD-Search-Nonbrand,44476.0,3025,5405.9,31,6.8,1.79,174.38,7,ClientD,Search,2025-07-03
2025-08-09,ClientB,Google Ads,ClientB-Search-Nonbrand,7728.0,452,1729.24,10,5.85,3.83,172.92,8,ClientB,Search,2025-08-09
2025-11-21,ClientB,Facebook Ads,ClientB-FB-Prospecting,45493.0,477,1172.69,8,1.68,1.54,91.62,11,ClientB,Other,2025-11-21
2025-09-06,ClientJ,Google Ads,ClientJ-Search-Brand,42905.0,1996,3459.71,27,4.65,1.73,128.14,9,ClientJ,Search,2025-09-06
2025-06-22,ClientL,Facebook Ads,ClientL-FB-Video,43878.0,2763,12604.11,58,6.3,4.56,217.31,6,ClientL,Other,2025-06-22
2024-12-12,ClientL,Google Ads,ClientL-YouTube-Awareness,28270.0,715,3626.9,15,4.05,3.17,151.12,12,ClientL,Other,2024-12-12
2025-11-08,ClientG,Facebook Ads,ClientG-FB-Video,49770.0,740,2165.1,0,2.38,1.83,0.0,11,ClientG,Other,2025-11-08
2025-01-08,ClientF,Google Ads,ClientF-YouTube-Awareness,22365.0,834,801.3,31,3.73,0.96,25.85,1,ClientF,Other,2025-01-08
2025-05-25,ClientB,Google Ads,ClientB-Search-Nonbrand,10248.0,529,1615.04,22,5.16,3.05,73.41,5,ClientB,Search,2025-05-25
2025-01-29,ClientA,Facebook Ads,ClientA-FB-Remarketing,2026.0,57,143.97,1,2.81,2.53,143.97,1,ClientA,Other,2025-01-29
2025-11-14,ClientE,Google Ads,ClientE-Search-Nonbrand,19973.0,593,1229.76,14,4.75,1.3,54.9,11,ClientE,Search,2025-11-14
2025-07-16,ClientD,Facebook Ads,ClientD-FB-Prospecting,21420.0,351,868.55,15,1.64,2.47,57.9,7,ClientD,Other,2025-07-16
2025-07-26,ClientE,Google Ads,ClientE-Search-Nonbrand,35175.0,957,695.83,29,2.72,0.73,23.99,7,ClientE,Search,2025-07-26
2025-01-18,ClientE,Facebook Ads,ClientE-FB-Remarketing,28129.0,410,225.66,0,1.46,0.55,0.0,1,ClientE,Other,2025-01-18
2025-03-03,ClientD,Facebook Ads,ClientD-Messenger,17714.0,1035,3268.62,24,5.84,3.16,136.19,3,ClientD,Other,2025-03-03
2025-07-07,ClientF,Facebook Ads,ClientF-FB-Video,15655.0,839,1504.62,23,5.36,1.79,65.42,7,ClientF,Other,2025-07-07
2025-07-16,ClientC,Google Ads,ClientC-Shopping-Products,1129.0,14,69.32,1,1.24,4.95,69.32,7,ClientC,Other,2025-07-16
2025-07-22,ClientH,Facebook Ads,ClientH-FB-Remarketing,25250.0,968,3073.97,0,3.83,3.18,0.0,7,ClientH,Other,2025-07-22
2025-04-19,ClientI,Google Ads,ClientI-Shopping-Products,40786.0,685,2016.14,12,1.68,2.94,168.01,4,ClientI,Other,2025-04-19
2025-05-17,ClientG,Google Ads,ClientG-Search-Nonbrand,12001.0,760,3659.66,20,6.33,4.82,182.98,5,ClientG,Search,2025-05-17
2024-12-26,ClientE,Facebook Ads,ClientE-FB-Video,49789.0,1066,1824.91,22,3.43,1.07,51.84,12,ClientE,Other,2024-12-26
2025-01-02,ClientH,Facebook Ads,ClientH-FB-Prospecting,27228.0,1154,2568.34,56,4.24,2.23,45.86,1,ClientH,Other,2025-01-02
2024-12-10,ClientH,Facebook Ads,ClientH-Messenger,73565.0,1687,6316.91,52,3.67,2.34,75.92,12,ClientH,Other,2024-12-10
2025-05-06,ClientK,Google Ads,ClientK-Search-Nonbrand,42708.0,1543,1077.65,64,3.61,0.7,16.84,5,ClientK,Search,2025-05-06
2025-10-20,ClientJ,Facebook Ads,ClientJ-FB-Video,24608.0,1386,2244.42,62,5.63,1.62,36.2,10,ClientJ,Other,2025-10-20
2025-06-02,ClientA,Google Ads,ClientA-Display-Prospecting,36695.0,2468,9681.56,0,6.73,3.92,0.0,6,ClientA,Display,2025-06-02
2025-07-28,ClientJ,Facebook Ads,ClientJ-IG-Stories,30898.0,2335,6165.68,84,7.56,2.64,73.4,7,ClientJ,Other,2025-07-28
2025-02-21,ClientL,Facebook Ads,ClientL-Messenger,16952.0,1035,3451.9,37,6.11,3.34,93.29,2,ClientL,Other,2025-02-21
2025-09-07,ClientJ,Google Ads,ClientJ-Search-Brand,36084.0,2264,5608.52,25,6.27,2.48,224.34,9,ClientJ,Search,2025-09-07
2025-02-01,ClientA,Google Ads,ClientA-YouTube-Awareness,31561.0,1908,8970.55,66,6.05,4.7,135.92,2,ClientA,Other,2025-02-01
2025-05-16,ClientD,Google Ads,ClientD-Search-Nonbrand,30829.0,2418,2325.2,77,7.84,0.96,30.2,5,ClientD,Search,2025-05-16
2025-01-11,ClientB,Google Ads,ClientB-Shopping-Products,37529.0,1452,4044.71,48,3.87,2.79,84.26,1,ClientB,Other,2025-01-11
2025-01-28,ClientL,Google Ads,ClientL-YouTube-Awareness,46740.0,1966,6869.97,45,4.21,3.49,152.67,1,ClientL,Other,2025-01-28
2025-04-10,ClientG,Google Ads,ClientG-YouTube-Awareness,7357.0,474,2023.66,11,6.44,4.27,183.97,4,ClientG,Other,2025-04-10
2025-09-07,ClientD,Google Ads,ClientD-Search-Nonbrand,40914.0,2628,9503.22,120,6.42,3.62,79.19,9,ClientD,Search,2025-09-07
2024-12-25,ClientI,Google Ads,ClientI-YouTube-Awareness,70312.0,1912,13262.74,28,4.35,4.34,296.04,12,ClientI,Other,2024-12-25
2025-03-15,ClientJ,Facebook Ads,ClientJ-FB-Prospecting,40229.0,2573,4183.23,40,6.4,1.63,104.58,3,ClientJ,Other,2025-03-15
2025-01-10,ClientI,Google Ads,ClientI-Shopping-Products,24742.0,909,1760.77,15,3.67,1.94,117.38,1,ClientI,Other,2025-01-10
2025-11-02,ClientI,Google Ads,ClientI-YouTube-Awareness,16506.0,640,2892.42,29,6.2,2.82,62.34,11,ClientI,Other,2025-11-02
2025-09-09,ClientK,Facebook Ads,ClientK-FB-Remarketing,17572.0,843,1894.84,41,4.8,2.25,46.22,9,ClientK,Other,2025-09-09
2025-10-24,ClientC,Google Ads,ClientC-Shopping-Products,18688.0,1327,4680.39,29,7.1,3.53,161.39,10,ClientC,Other,2025-10-24
2025-04-04,ClientC,Facebook Ads,ClientC-Messenger,13484.0,149,276.99,3,1.11,1.86,92.33,4,ClientC,Other,2025-04-04
2025-11-10,ClientG,Google Ads,ClientG-Search-Brand,10496.0,72,81.23,1,1.1,0.71,50.77,11,ClientG,Search,2025-11-10
2025-07-16,ClientI,Google Ads,ClientI-Display-Prospecting,42045.0,896,3963.67,6,2.13,4.42,660.61,7,ClientI,Display,2025-07-16
2025-06-05,ClientC,Google Ads,ClientC-Shopping-Products,2401.0,125,386.27,5,5.21,3.09,77.25,6,ClientC,Other,2025-06-05
2025-07-10,ClientL,Facebook Ads,ClientL-FB-Prospecting,43429.0,864,2349.61,0,1.99,2.72,0.0,7,ClientL,Other,2025-07-10
2025-09-06,ClientG,Facebook Ads,ClientG-IG-Stories,1261.0,63,208.64,1,5.0,3.31,208.64,9,ClientG,Other,2025-09-06
2025-03-28,ClientE,Google Ads,ClientE-Search-Nonbrand,12784.0,847,2835.98,29,6.63,3.35,97.79,3,ClientE,Search,2025-03-28
2025-03-23,ClientD,Google Ads,ClientD-Display-Prospecting,44990.0,1949,5367.29,26,4.33,2.75,206.43,3,ClientD,Display,2025-03-23
2025-07-18,ClientB,Facebook Ads,ClientB-IG-Stories,27278.0,523,1447.58,9,1.92,2.77,160.84,7,ClientB,Other,2025-07-18
2025-08-13,ClientK,Facebook Ads,ClientK-FB-Remarketing,15615.0,664,2577.5,23,4.25,3.88,112.07,8,ClientK,Other,2025-08-13
2025-11-21,ClientC,Google Ads,ClientC-Search-Brand,66030.0,3214,18295.28,109,7.79,3.56,104.9,11,ClientC,Search,2025-11-21
2025-06-13,ClientD,Google Ads,ClientD-Display-Prospecting,33072.0,562,672.31,28,1.7,1.2,24.01,6,ClientD,Display,2025-06-13
2025-04-13,ClientL,Facebook Ads,ClientL-FB-Remarketing,34598.0,585,1396.38,19,1.69,2.39,73.49,4,ClientL,Other,2025-04-13
